261D 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: light skin tone                             # E1.0   [1] (☝🏻)
261D 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: medium-light skin tone                      # E1.0   [1] (☝🏼)
261D 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: medium skin tone                            # E1.0   [1] (☝🏽)
261D 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: medium-dark skin tone                       # E1.0   [1] (☝🏾)
261D 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: dark skin tone                              # E1.0   [1] (☝🏿)
26F9 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: light skin tone                          # E2.0   [1] (⛹🏻)
26F9 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: medium-light skin tone                   # E2.0   [1] (⛹🏼)
26F9 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: medium skin tone                         # E2.0   [1] (⛹🏽)
26F9 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: medium-dark skin tone                    # E2.0   [1] (⛹🏾)
26F9 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: dark skin tone                           # E2.0   [1] (⛹🏿)
270A 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; raised fist: light skin tone                                   # E1.0   [1] (✊🏻)
270A 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; raised fist: medium-light skin tone                            # E1.0   [1] (✊🏼)
270A 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; raised fist: medium skin tone                                  # E1.0   [1] (✊🏽)
270A 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; raised fist: medium-dark skin tone                             # E1.0   [1] (✊🏾)
270A 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; raised fist: dark skin tone                                    # E1.0   [1] (✊🏿)
270B 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; raised hand: light skin tone                                   # E1.0   [1] (✋🏻)
270B 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; raised hand: medium-light skin tone                            # E1.0   [1] (✋🏼)
270B 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; raised hand: medium skin tone                                  # E1.0   [1] (✋🏽)
270B 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; raised hand: medium-dark skin tone                             # E1.0   [1] (✋🏾)
270B 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; raised hand: dark skin tone                                    # E1.0   [1] (✋🏿)
270C 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; victory hand: light skin tone                                  # E1.0   [1] (✌🏻)
270C 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; victory hand: medium-light skin tone                           # E1.0   [1] (✌🏼)
270C 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; victory hand: medium skin tone                                 # E1.0   [1] (✌🏽)
270C 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; victory hand: medium-dark skin tone                            # E1.0   [1] (✌🏾)
270C 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; victory hand: dark skin tone                                   # E1.0   [1] (✌🏿)
270D 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; writing hand: light skin tone                                  # E1.0   [1] (✍🏻)
270D 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; writing hand: medium-light skin tone                           # E1.0   [1] (✍🏼)
270D 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; writing hand: medium skin tone                                 # E1.0   [1] (✍🏽)
270D 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; writing hand: medium-dark skin tone                            # E1.0   [1] (✍🏾)
270D 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; writing hand: dark skin tone                                   # E1.0   [1] (✍🏿)
1F385 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: light skin tone                                   # E1.0   [1] (🎅🏻)
1F385 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: medium-light skin tone                            # E1.0   [1] (🎅🏼)
1F385 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: medium skin tone                                  # E1.0   [1] (🎅🏽)
